クラス,血統,1着,2着,3着,着外
all,スズカマンボ,1,0,0,0
all,ハービンジャー Harbinger(英),1,0,0,0
all,ジャングルポケット,0,1,0,0
all,リーチザクラウン,0,1,0,0
all,ダイワメジャー,0,0,1,0
all,ノヴェリスト Novellist(愛),0,0,1,0
all,アドマイヤムーン,0,0,0,0
all,エイシンフラッシュ,0,0,0,1
all,キングカメハメハ,0,0,0,1
all,クロフネ,0,0,0,1
all,サムライハート,0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,ステイゴールド,0,0,0,1
all,タニノギムレット,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ネオユニヴァース,0,0,0,2
all,ハーツクライ,0,0,0,2
all,ベーカバド Behkabad(仏),0,0,0,1
all,マンハッタンカフェ,0,0,0,0
all,ヴァーミリアン,0,0,0,1
オープン,スズカマンボ,1,0,0,0
オープン,ハービンジャー Harbinger(英),1,0,0,0
オープン,ジャングルポケット,0,1,0,0
オープン,リーチザクラウン,0,1,0,0
オープン,ダイワメジャー,0,0,1,0
オープン,ノヴェリスト Novellist(愛),0,0,1,0
オープン,アドマイヤムーン,0,0,0,0
オープン,エイシンフラッシュ,0,0,0,1
オープン,キングカメハメハ,0,0,0,1
オープン,クロフネ,0,0,0,1
オープン,サムライハート,0,0,0,1
オープン,シンボリクリスエス,0,0,0,1
オープン,ステイゴールド,0,0,0,1
オープン,タニノギムレット,0,0,0,1
オープン,ドリームジャーニー,0,0,0,1
オープン,ネオユニヴァース,0,0,0,2
オープン,ハーツクライ,0,0,0,2
オープン,ベーカバド Behkabad(仏),0,0,0,1
オープン,マンハッタンカフェ,0,0,0,0
オープン,ヴァーミリアン,0,0,0,1
