クラス,血統,1着,2着,3着,着外
all,ロードカナロア,7,7,3,49
all,ヘニーヒューズ Henny Hughes(米),5,3,1,49
all,キンシャサノキセキ,4,4,3,29
all,ルーラーシップ,4,3,6,25
all,ドゥラメンテ,4,2,2,18
all,ダイワメジャー,4,0,2,19
all,アジアエクスプレス,3,4,1,16
all,キズナ,3,3,4,19
all,マクフィ,3,2,2,20
all,ホッコータルマエ,3,2,0,9
all,ディスクリートキャット Discreet Cat(米),2,3,2,11
all,リオンディーズ,2,1,0,14
all,キングカメハメハ,2,0,1,14
all,Arrogate (米),2,0,0,1
all,ハーツクライ,2,0,0,6
all,ジャスタウェイ,1,6,1,16
all,シニスターミニスター Sinister Minister(米),1,3,5,30
all,スクリーンヒーロー,1,2,2,13
all,ドレフォン Drefong(米),1,2,2,19
all,ラニ,1,2,2,5
all,マジェスティックウォリアー Majestic Warrior(米),1,1,4,25
all,ダンカーク Dunkirk(米),1,1,1,7
all,ラブリーデイ,1,1,1,6
all,カレンブラックヒル,1,1,0,7
all,アイルハヴアナザー I'll Have Another(米),1,0,2,3
all,シャンハイボビー Shanghai Bobby(米),1,0,2,0
all,ローエングリン,1,0,2,4
all,ワールドエース,1,0,2,11
all,ゴールドアリュール,1,0,1,9
all,パイロ Pyro(米),1,0,1,18
all,マインドユアビスケッツ Mind Your Biscuits(米),1,0,1,4
all,American Pharoah (米),1,0,0,3
all,Emcee,1,0,0,0
all,Mendelssohn,1,0,0,0
all,New Approach,1,0,0,0
all,Speightstown (米),1,0,0,4
all,エイシンフラッシュ,1,0,0,14
all,キングズベスト King's Best(米),1,0,0,0
all,サトノアラジン,1,0,0,10
all,ザファクター,1,0,0,11
all,スピルバーグ,1,0,0,2
all,ダノンレジェンド,1,0,0,13
all,デクラレーションオブウォー,1,0,0,1
all,トウケイヘイロー,1,0,0,1
all,トランセンド,1,0,0,4
all,ニホンピロアワーズ,1,0,0,4
all,ロージズインメイ Roses in May(米),1,0,0,9
all,ヴィットリオドーロ,1,0,0,0
all,メイショウサムソン,0,3,1,5
all,ディープブリランテ,0,2,4,15
all,コパノリッキー,0,2,1,15
all,ミッキーアイル,0,2,1,8
all,Tapit (米),0,2,0,3
all,イスラボニータ,0,2,0,13
all,モーリス,0,2,0,14
all,ディープインパクト,0,1,3,7
all,エスポワールシチー,0,1,1,4
all,Carpe Diem,0,1,0,2
all,City Zip,0,1,0,0
all,Gun Runner (米),0,1,0,0
all,Into Mischief,0,1,0,2
all,Lemon Drop Kid,0,1,0,0
all,Street Cry (愛),0,1,0,2
all,エンパイアメーカー Empire Maker(米),0,1,0,0
all,ストロングリターン,0,1,0,6
all,スマートファルコン,0,1,0,7
all,タートルボウル Turtle Bowl(愛),0,1,0,3
all,トゥザグローリー,0,1,0,5
all,プリサイスエンド Precise End(米),0,1,0,2
all,マスタリー,0,1,0,0
all,マツリダゴッホ,0,1,0,6
all,ビッグアーサー,0,0,2,15
all,Curlin (米),0,0,1,1
all,Exceed And Excel,0,0,1,0
all,Maclean's Music,0,0,1,1
all,Pioneerof the Nile,0,0,1,4
all,Quality Road,0,0,1,0
all,インカンテーション,0,0,1,0
all,カネヒキリ,0,0,1,1
all,サクラゼウス,0,0,1,1
all,スズカコーズウェイ,0,0,1,4
all,ダノンシャーク,0,0,1,4
all,ディーマジェスティ,0,0,1,3
all,ハービンジャー Harbinger(英),0,0,1,4
all,ブラックタイド,0,0,1,3
all,ベストウォーリア,0,0,1,0
all,ヤマカツエース,0,0,1,2
all,Blame,0,0,0,2
all,Frankel,0,0,0,2
all,Frosted (米),0,0,0,2
all,Gleneagles (愛),0,0,0,1
all,Itsmyluckyday,0,0,0,1
all,Mineshaft (米),0,0,0,2
all,Nathaniel (愛),0,0,0,1
all,Runhappy,0,0,0,1
all,Shackleford,0,0,0,2
all,Shamardal,0,0,0,1
all,Territories,0,0,0,1
all,Uncle Mo (米),0,0,0,4
all,アイファーソング,0,0,0,2
all,アグネスデジタル,0,0,0,1
all,アスカクリチャン,0,0,0,2
all,アドマイヤマックス,0,0,0,1
all,アドマイヤムーン,0,0,0,5
all,アポロキングダム,0,0,0,1
all,アメリカンペイトリオット,0,0,0,9
all,アルデバランII Aldebaran(米),0,0,0,1
all,アンライバルド,0,0,0,1
all,アーネストリー,0,0,0,2
all,エイシンアポロン,0,0,0,1
all,エイシンヒカリ,0,0,0,6
all,エスケンデレヤ,0,0,0,6
all,エピファネイア,0,0,0,11
all,オウケンブルースリ,0,0,0,1
all,オルフェーヴル,0,0,0,8
all,キタサンブラック,0,0,0,4
all,クリーンエコロジー,0,0,0,1
all,クレスコグランド,0,0,0,1
all,クロフネ,0,0,0,8
all,グランプリボス,0,0,0,3
all,グロリアスノア,0,0,0,1
all,ケイムホーム Came Home(米),0,0,0,1
all,ケープブランコ Cape Blanco(英),0,0,0,7
all,ゴスホークケン,0,0,0,1
all,ゴールドシップ,0,0,0,5
all,サウスヴィグラス,0,0,0,8
all,サトノクラウン,0,0,0,6
all,サトノダイヤモンド,0,0,0,1
all,サムライハート,0,0,0,1
all,シルバーステート,0,0,0,4
all,シルポート,0,0,0,2
all,シンボリクリスエス,0,0,0,1
all,ジャングルポケット,0,0,0,1
all,ジョーカプチーノ,0,0,0,1
all,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,2
all,スズカフェニックス,0,0,0,2
all,ステイゴールド,0,0,0,1
all,ストリートセンス Street Sense(米),0,0,0,2
all,ゼンノロブロイ,0,0,0,2
all,タイキシャトル,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,ダイシンオレンジ,0,0,0,3
all,ダノンシャンティ,0,0,0,4
all,ディープスカイ,0,0,0,2
all,トゥザワールド,0,0,0,2
all,トビーズコーナー Toby's Corner(米),0,0,0,1
all,トーセンジョーダン,0,0,0,2
all,トーセンラー,0,0,0,3
all,ドリームバレンチノ,0,0,0,1
all,ナカヤマフェスタ,0,0,0,2
